284	214	189	11	753	3	12	FULL	2	450800
236	182	197	8	309	0	0	FULL	1	859064
283	226	70	1759	250	0	0	ALL_EDGES	2	578366
292	252	116	833	586	14	15	FULL	3	730394
364	225	146	12	500	32	27	FULL	1	146379
298	265	107	1700	998	29	30	ALL_EDGES	1	262360
296	166	235	11	250	38	35	FULL	2	208341
272	225	187	0	1282	18	20	FULL	1	704431
310	186	113	884	462	16	20	FULL	1	752355
273	128	100	154	714	0	0	FULL	1	248555
342	227	154	3408	372	0	0	FULL	3	754973
256	201	165	0	1343	0	0	FULL	1	280106
397	265	110	3542	1257	0	0	FULL	1	399211
186	129	189	4	421	36	36	FULL	2	454731
202	193	115	4	764	0	0	FULL	3	655554
288	236	169	11	430	35	40	FULL	2	247084
250	131	228	0	638	18	17	FULL	1	427213
284	200	79	4	477	0	0	FULL	3	177242
323	202	177	11	940	33	33	FULL	5	168341
230	230	85	0	578	0	0	FULL	1	266463
308	247	138	10	988	27	34	FULL	2	477480
312	162	228	3542	381	19	23	FULL	2	463054
360	250	128	11	585	35	34	FULL	1	558529
318	174	136	7	250	0	0	FULL	2	291735
285	128	289	1218	941	0	0	ALL_EDGES	2	253379
257	138	126	540	428	30	35	ALL_EDGES	1	44664
378	222	113	9	716	0	0	FULL	2	609879
269	164	102	652	250	0	0	FULL	1	967150
278	174	196	9	916	0	0	FULL	2	996911
343	278	89	17	994	0	0	FULL	2	589238
302	210	181	828	250	0	0	FULL	1	201692
316	181	202	5198	2000	17	19	FULL	3	634522
237	172	207	1343	392	7	10	FULL	1	993826
251	114	123	3	585	14	16	FULL	5	885040
185	140	329	841	250	0	0	FULL	1	305590
222	212	96	1624	532	0	0	ALL_EDGES	2	901775
215	182	245	2289	763	0	0	FULL	2	745816
276	206	184	0	573	20	20	FULL	4	940226
439	343	70	0	250	0	0	ALL_EDGES	1	511648
295	143	271	11	504	0	0	FULL	2	605864
303	223	111	7	250	0	0	FULL	1	415127
264	182	156	7	726	25	22	FULL	3	999279
360	250	72	6	382	8	14	FULL	1	500049
336	256	99	357	374	13	17	FULL	2	878413
371	237	131	1644	250	5	9	FULL	3	461550
217	144	302	1349	250	0	0	ALL_EDGES	2	125411
389	256	95	9	370	0	0	FULL	2	819548
278	217	190	3093	617	0	0	FULL	3	792826
269	225	124	1732	478	17	18	ALL_EDGES	1	507758
298	182	158	382	761	14	14	FULL	2	653824
306	144	170	375	1090	0	0	FULL	2	767038
252	153	271	0	365	6	6	FULL	4	122385
266	209	135	15	826	0	0	ALL_EDGES	1	338882
163	87	317	715	886	0	0	FULL	3	27102
184	106	179	3	442	0	0	FULL	1	844098
329	213	122	17	683	23	23	FULL	2	125559
344	189	100	0	250	20	21	ALL_EDGES	3	59458
298	148	169	7	843	34	37	FULL	1	805493
278	212	161	1377	764	9	11	FULL	2	193697
278	229	149	9	250	16	13	FULL	1	744964
363	258	101	1491	250	0	0	FULL	3	688742
196	165	327	0	250	0	0	FULL	1	823764
326	134	172	7	250	0	0	FULL	3	519944
247	184	187	850	1302	30	30	FULL	1	304835
227	156	126	711	250	26	29	FULL	2	263201
310	202	136	8	507	39	48	ALL_EDGES	2	233832
249	220	119	6	380	15	17	FULL	1	760586
267	198	142	0	366	0	0	FULL	3	871352
238	167	264	2656	250	0	0	FULL	1	872544
