item,quantity,width,depth,height,weight,maxload
bin,1,1200,800,2000,2000.0,2000.0
101318,6,400,480,175,12.23,89.66
101402,30,380,270,100,10.21,196.42
101407,20,380,270,100,10.22,196.61
101409,50,380,270,100,10.09,194.14
101502,12,298,558,187,7.5,39.93
101504,16,280,250,215,4.91,35.889
101517,14,310,495,200,9.692,90.699
101551,15,290,100,190,2.688,24.928
101557,15,390,200,248,1.68,13.38
101679,20,298,198,287,11.35,57.965
104020,15,398,198,212,5.1,47.925
111103,12,450,410,230,12.204,89.478
111109,12,400,360,160,12.168,48.672
111111,6,450,400,200,12.204,89.478
111205,5,460,290,140,12.192,73.152
122018,21,335,161,137,5.46,72.137
122054,21,335,161,137,5.458,72.111
122078,42,335,161,137,5.46,72.137
122635,40,365,196,222,12.67,90.119
122641,5,335,161,137,5.46,72.137
122642,5,335,161,137,5.46,72.137
123042,5,298,198,162,4.82,54.235
123048,20,298,198,162,4.82,54.235
123713,5,335,161,137,5.6,73.957
123714,10,335,161,137,5.6,73.957
151003,15,351,190,309,10.9,56.12
153318,48,290,300,140,4.314,58.107
153352,6,380,540,290,12.2,162.65
210181,20,241,233,228,2.109,15.978
210278,5,322,166,299,3.725,19.782
210484,20,493,211,249,5.46,40.384
210485,40,214,240,252,2.549,18.981
212124,20,248,238,202,2.396,22.779
212131,20,241,233,254,2.266,17.077
212479,5,331,226,257,6.224,45.188
214007,12,322,277,171,4.857,55.452
214008,40,275,190,167,2.314,26.669
214059,21,322,166,299,5.584,29.077
230358,5,338,233,280,3.999,21.864
230386,216,328,133,115,1.164,20.688
250162,13,244,344,292,6.178,32.759
250181,5,351,243,337,5.607,29.904
250196,20,403,258,274,4.684,25.85
250200,5,268,395,207,3.355,32.625
250228,36,390,155,195,1.426,14.184
250251,38,188,318,237,4.253,31.05
250252,63,318,188,237,4.43,32.289
250303,20,220,316,190,5.233,48.616
250465,68,222,290,206,2.804,26.665
250466,25,222,290,206,2.804,26.665
250557,42,211,366,173,3.6,41.336
250558,56,211,366,173,3.6,41.336
250560,14,211,366,173,3.6,41.336
250852,64,280,212,206,2.714,25.776
251002,5,358,238,162,2.298,27.303
251101,20,225,335,237,3.279,24.573
251105,10,243,351,337,5.602,29.879
251161,20,222,333,217,1.726,13.702
251162,5,222,333,217,1.721,13.667
251226,32,220,316,190,4.933,45.916
251227,32,220,316,190,4.933,45.916
251228,32,220,316,190,4.933,45.916
251230,16,220,316,190,4.932,45.907
251502,60,248,238,227,2.385,17.91
251534,30,333,225,237,1.63,13.03
251620,18,398,163,207,1.424,14.166
251622,5,398,163,207,1.423,14.157
311777,5,293,243,237,5.373,39.13
312229,5,378,238,176,5.47,51.099
312907,9,358,248,172,3.854,44.419
312910,12,488,323,252,4.075,31.996
312911,12,488,323,252,4.075,31.996
313009,48,293,243,217,5.615,40.824
313267,21,326,169,259,4.173,30.368
313268,30,193,193,242,1.736,12.962
313342,5,193,193,242,1.856,13.802
313693,16,293,243,217,5.63,40.929
327021,27,366,298,172,6.16,30.8
336108,5,325,115,180,2.27,21.268
336109,5,325,115,180,2.27,21.268
336110,15,325,115,180,2.27,21.268
336115,22,294,168,172,2.09,10.45
336396,5,363,268,206,3.428,33.282
336397,10,363,268,206,3.428,33.282
337106,5,363,268,206,3.31,32.22
384029,5,188,168,89,1.967,42.001
385506,5,236,194,261,10.242,72.707
389414,10,204,189,81,1.924,45.062
389415,5,204,189,81,1.924,45.062
516995,18,363,308,233,6.812,50.114
517551,5,593,388,259,4.922,39.314
517552,5,593,388,259,4.922,39.314
517562,5,363,290,236,1.447,12.338
518012,16,550,280,114,4.79,28.74
518607,6,655,291,299,2.54,16.75
545536,10,480,210,160,12.3,137.73
571655,27,580,205,100,10.15,81.2
