item,quantity,width,depth,height,weight,maxload
bin,1,1200,800,2000,2000.0,2000.0
101507,27,298,558,187,7.5,39.93
101538,10,394,148,211,3.764,35.091
113451,25,238,120,290,4.89,25.058
113452,50,248,400,160,3.3,38.325
120109,60,190,390,200,5.272,49.473
120114,15,233,243,192,3.83,35.685
120118,48,196,393,205,5.272,49.473
120123,20,470,200,240,4.94,36.605
120404,41,380,290,100,10.19,196.04
124105,32,390,140,90,1.646,35.781
126214,70,395,118,188,3.17,29.502
128221,7,398,116,185,2.79,26.082
128225,13,398,116,185,2.79,26.082
134308,82,493,138,182,4.39,17.56
135309,19,328,198,172,5.2,26.0
144022,44,243,148,204,2.81,26.1
171505,11,285,141,169,2.4,22.613
210110,25,231,200,106,3.98,68.632
210137,1,190,190,106,2.832,48.954
210178,33,194,189,81,1.91,44.74
210185,2,204,176,97,1.915,37.357
225057,1,378,238,216,7.383,53.55
228075,1,378,238,256,10.15,72.919
230205,19,330,200,227,3.48,25.71
230391,15,575,196,205,5.045,47.835
250229,72,398,163,207,1.1,11.25
250254,7,318,188,237,4.429,32.282
250303,47,220,316,190,5.233,48.616
251105,19,243,351,337,5.602,29.879
251452,18,363,246,325,4.217,23.11
311777,1,293,243,237,5.373,39.13
312014,5,330,238,157,4.032,45.972
312221,4,200,370,230,8.264,59.717
312229,2,378,238,176,5.47,51.099
312886,5,238,330,157,4.289,48.799
312909,4,488,323,252,4.081,32.038
313686,35,313,243,189,3.833,36.117
318306,9,399,193,192,5.75,53.37
327028,98,294,168,177,2.288,11.44
327029,94,294,168,177,2.288,11.44
336114,106,294,168,172,2.09,10.45
336115,71,294,168,172,2.09,10.45
336569,5,390,110,90,1.2,26.172
336580,29,390,110,90,1.36,29.532
336919,8,385,110,90,0.492,11.304
337104,45,325,115,180,2.07,19.468
340001,39,458,128,182,4.39,40.86
340006,35,458,128,182,4.39,40.86
384027,34,293,265,111,6.85,118.475
384696,5,275,190,167,1.788,20.883
385365,15,206,186,137,3.792,50.106
389412,14,204,189,81,1.924,45.062
389413,5,204,189,81,1.924,45.062
389416,2,204,189,81,1.598,37.564
516315,9,333,238,208,6.895,63.791
516416,75,208,183,133,0.54,7.83
516417,32,208,183,133,0.449,6.647
516443,12,333,383,307,4.641,25.905
516593,26,292,326,256,4.231,31.642
517013,3,292,326,256,4.471,33.322
517101,126,208,183,133,0.833,11.639
517104,125,208,183,133,0.833,11.639
517108,14,208,183,133,0.529,7.687
517110,44,208,183,133,0.541,7.843
517114,7,363,210,133,1.387,19.9
517561,18,363,290,236,1.447,12.338
517676,44,298,150,180,2.74,25.673
518103,24,300,250,284,6.35,25.4
518201,1,286,215,139,6.3,83.329
518202,8,286,215,139,6.3,83.329
518307,1,235,120,145,0.9,12.375
518402,1,310,230,125,6.1,93.12
544615,15,243,144,204,2.42,22.59
544617,1,400,144,204,3.56,33.255
544646,12,243,148,205,3.34,30.87
544661,42,243,148,205,2.2,20.61
544662,9,243,148,205,2.7,25.11
544663,25,243,148,205,2.5,23.31
544677,60,243,148,205,2.604,24.246
545576,6,240,333,210,8.092,74.564
545578,1,240,333,210,8.092,74.564
545580,5,240,333,210,8.092,74.564
574905,34,394,148,211,3.808,35.487
575798,46,298,150,180,2.73,25.583
