item,quantity,width,depth,height,weight,maxload
bin,1,1200,800,2000,2000.0,2000.0
101219,10,450,330,200,12.24,90.54
101320,6,400,480,175,12.23,114.12
101401,20,380,270,100,10.16,195.47
101407,50,380,270,100,10.22,196.61
101504,16,280,250,215,4.91,35.889
103118,20,230,240,190,3.834,35.721
104020,15,398,198,212,5.1,47.925
111103,12,450,410,230,12.204,89.478
111105,12,450,380,210,12.2,89.45
111203,10,460,290,140,12.194,161.993
111204,11,440,290,220,12.194,137.605
122015,63,335,161,137,5.46,72.137
122016,63,335,161,137,5.46,72.137
122018,63,335,161,137,5.46,72.137
122046,21,335,161,137,5.458,72.111
122050,21,335,161,137,5.458,72.111
122054,21,335,161,137,5.458,72.111
122077,63,335,161,137,5.46,72.137
122078,63,335,161,137,5.46,72.137
122631,8,365,196,222,12.67,90.119
122635,34,365,196,222,12.67,90.119
122685,5,370,195,155,6.44,72.46
123041,40,298,198,162,4.82,54.235
123042,40,298,198,162,4.82,54.235
123047,20,298,198,162,4.82,54.235
151003,10,351,190,309,10.9,56.12
210133,30,181,190,103,2.474,47.816
210144,35,180,168,94,1.688,36.142
210185,30,204,176,97,1.915,37.357
210278,21,322,166,299,3.725,19.782
210817,40,241,233,202,2.545,24.12
212125,40,248,238,212,2.547,24.138
212126,10,226,196,90,2.933,62.565
214059,42,322,166,299,5.584,29.077
223003,36,358,313,107,3.579,63.543
223004,10,275,190,167,2.334,26.889
230206,18,330,200,227,3.48,25.71
250200,10,268,395,207,3.355,32.625
250228,18,390,155,195,1.426,14.184
250251,19,188,318,237,4.253,31.05
250252,38,318,188,237,4.43,32.289
250386,54,398,163,207,1.273,12.807
250533,36,291,300,200,5.448,51.057
250558,14,211,366,173,3.6,41.336
250560,42,211,366,173,3.6,41.336
250564,48,223,373,206,3.787,36.108
250852,54,280,212,206,2.714,25.776
250853,70,212,280,206,2.714,25.776
251002,6,358,238,162,2.298,27.303
251101,45,225,335,237,3.279,24.573
251105,13,243,351,337,5.602,29.879
251226,48,220,316,190,4.933,45.916
251227,48,220,316,190,4.933,45.916
251228,48,220,316,190,4.933,45.916
251621,18,398,163,207,1.424,14.166
251622,18,398,163,207,1.423,14.157
311348,32,288,238,225,5.667,41.188
312011,8,293,243,237,6.512,47.103
312229,13,378,238,176,5.47,51.099
313012,45,326,236,171,4.755,53.925
313267,21,326,169,259,4.173,30.368
313540,48,248,190,284,3.409,18.058
313694,15,313,243,189,3.465,32.805
327021,9,366,298,172,6.16,30.8
384883,4,366,224,162,5.639,64.054
385506,7,236,194,261,10.242,72.707
385746,30,210,210,191,4.173,21.675
389411,25,204,189,81,1.924,45.062
389415,25,204,189,81,1.924,45.062
516652,18,383,333,307,3.634,20.87
516889,5,394,300,307,4.097,22.915
517101,30,208,183,133,0.833,11.639
517104,30,208,183,133,0.833,11.639
518012,40,550,280,114,4.79,28.74
545526,30,480,210,160,12.168,136.278
