item,quantity,width,depth,height,weight,maxload
bin,1,1200,800,2000,2000.0,2000.0
101420,65,280,345,130,12.1,159.509
101545,57,370,300,100,8.9,171.53
101547,3,380,400,260,10.69,100.26
101548,3,380,400,200,10.69,100.26
101801,11,293,193,292,10.41,53.265
104705,54,400,250,210,5.172,48.573
113451,37,238,120,290,4.89,25.058
113452,60,248,400,160,3.3,38.325
120109,57,190,390,200,5.272,49.473
120112,12,298,198,287,11.92,60.815
120114,13,233,243,192,3.83,35.685
124104,23,395,145,188,4.216,39.159
134710,73,234,194,160,4.4,17.6
144022,104,243,148,204,2.81,26.1
151002,15,470,260,110,12.288,211.934
230352,20,338,233,280,3.999,21.864
230358,24,338,233,280,3.999,21.864
318301,40,393,193,192,6.024,55.836
336114,64,294,168,172,2.09,10.45
336565,66,385,110,90,2.02,43.392
336569,61,390,110,90,1.2,26.172
336919,39,385,110,90,0.492,11.304
336920,28,385,110,90,0.492,11.304
340001,27,458,128,182,4.39,40.86
340003,43,458,128,182,4.39,40.86
340004,61,458,128,182,4.39,40.86
340006,43,458,128,182,4.39,40.86
516313,40,328,298,256,5.234,38.663
516315,22,333,238,208,6.895,63.791
516340,36,328,298,256,5.234,38.663
516342,13,328,298,256,5.23,38.635
516410,37,208,183,133,0.758,10.664
516416,63,208,183,133,0.54,7.83
516417,47,208,183,133,0.449,6.647
516891,29,333,238,208,6.895,63.791
516995,26,363,308,233,6.812,50.114
517104,145,208,183,133,0.833,11.639
517106,39,208,183,133,0.758,10.664
517108,28,208,183,133,0.529,7.687
517551,14,593,388,259,4.922,39.314
517552,4,593,388,259,4.922,39.314
517560,31,363,290,236,1.447,12.338
517562,33,363,290,236,1.447,12.338
544646,12,243,148,205,3.34,30.87
544647,38,243,148,205,3.04,28.17
544662,60,243,148,205,2.7,25.11
544663,70,243,148,205,2.5,23.31
545580,37,240,333,210,8.092,74.564
574906,91,394,148,211,3.807,35.478
920406,2,260,335,340,18.21,93.259
