item,quantity,width,depth,height,weight,maxload
bin,1,1200,800,2000,2000.0,2000.0
101319,12,600,300,230,12.17,89.24
101507,17,298,558,187,7.5,39.93
101517,5,310,495,200,9.692,90.699
101538,2,394,148,211,3.764,35.091
101558,4,400,480,175,12.23,89.66
101801,8,293,193,292,10.41,53.265
103401,2,380,270,95,10.23,196.8
113451,36,238,120,290,4.89,25.058
113452,47,248,400,160,3.3,38.325
120109,47,190,390,200,5.272,49.473
120112,1,298,198,287,11.92,60.815
120114,6,233,243,192,3.83,35.685
120120,9,318,503,272,4.36,25.85
120121,10,318,503,272,4.56,26.85
120124,1,400,360,160,12.151,113.409
120126,8,500,390,230,12.19,89.38
120404,18,380,290,100,10.19,196.04
124105,2,390,140,90,1.646,35.781
126214,64,395,118,188,3.17,29.502
128221,11,398,116,185,2.79,26.082
128223,2,398,116,185,2.79,26.082
128225,28,398,116,185,2.79,26.082
134308,41,493,138,182,4.39,17.56
135309,25,328,198,172,5.2,26.0
144022,18,243,148,204,2.81,26.1
171505,14,285,141,169,2.4,22.613
210110,31,231,200,106,3.98,68.632
210481,33,276,236,171,2.2,25.719
214058,7,216,206,86,1.194,28.677
223004,43,275,190,167,2.334,26.889
230205,22,330,200,227,3.48,25.71
250229,13,398,163,207,1.1,11.25
250254,38,318,188,237,4.429,32.282
250257,37,316,220,190,4.979,46.33
250303,35,220,316,190,5.233,48.616
250353,25,198,258,107,1.242,22.329
251105,22,243,351,337,5.602,29.879
251452,35,363,246,325,4.217,23.11
312014,2,330,238,157,4.032,45.972
313073,11,297,219,254,3.207,23.968
313525,28,330,238,169,2.999,34.508
318306,14,399,193,192,5.75,53.37
327010,30,366,298,172,5.88,29.4
327036,80,294,168,177,2.48,28.385
327037,51,294,168,177,2.48,28.385
336114,65,294,168,172,2.09,10.45
336115,110,294,168,172,2.09,10.45
336569,14,390,110,90,1.2,26.172
336580,62,390,110,90,1.36,29.532
336919,5,385,110,90,0.492,11.304
336920,1,385,110,90,0.492,11.304
337104,57,325,115,180,2.07,19.468
340001,30,458,128,182,4.39,40.86
340006,27,458,128,182,4.39,40.86
384027,25,293,265,111,6.85,118.475
384033,7,196,166,87,1.988,42.442
385365,13,206,186,137,3.792,50.106
389412,69,204,189,81,1.924,45.062
389416,36,204,189,81,1.598,37.564
516315,12,333,238,208,6.895,63.791
516342,5,328,298,256,5.23,38.635
516416,10,208,183,133,0.54,7.83
516417,7,208,183,133,0.449,6.647
516443,19,333,383,307,4.641,25.905
516593,13,292,326,256,4.231,31.642
516696,24,376,311,308,4.53,25.35
516995,2,363,308,233,6.812,50.114
517007,3,383,333,307,7.36,39.5
517013,12,292,326,256,4.471,33.322
517101,135,208,183,133,0.833,11.639
517108,12,208,183,133,0.529,7.687
517114,74,363,210,133,1.387,19.9
517561,14,363,290,236,1.447,12.338
517576,1,461,294,257,2.688,21.854
517676,29,298,150,180,2.74,25.673
517677,1,493,163,232,5.2,38.136
517679,1,493,163,232,5.2,38.136
518307,1,235,120,145,0.9,12.375
518402,4,310,230,125,6.1,93.12
518403,13,286,215,139,6.3,83.329
544615,21,243,144,204,2.42,22.59
544616,3,243,148,205,2.802,26.028
544646,6,243,148,205,3.34,30.87
544661,15,243,148,205,2.2,20.61
544662,14,243,148,205,2.7,25.11
544663,15,243,148,205,2.5,23.31
544677,31,243,148,205,2.604,24.246
545576,4,240,333,210,8.092,74.564
545577,14,240,333,210,8.092,74.564
545578,1,240,333,210,8.092,74.564
574906,40,394,148,211,3.807,35.478
575798,30,298,150,180,2.73,25.583
