item,quantity,width,depth,height,weight,maxload
bin,1,1200,800,2000,2000.0,2000.0
101507,21,298,558,187,7.5,39.93
101538,11,394,148,211,3.764,35.091
113451,34,238,120,290,4.89,25.058
113452,8,248,400,160,3.3,38.325
120109,46,190,390,200,5.272,49.473
120114,14,233,243,192,3.83,35.685
120118,60,196,393,205,5.272,49.473
120123,27,470,200,240,4.94,36.605
120404,43,380,290,100,10.19,196.04
122641,89,335,161,137,5.46,72.137
122642,71,335,161,137,5.46,72.137
122647,47,335,165,137,5.1,67.457
124105,8,390,140,90,1.646,35.781
126214,57,395,118,188,3.17,29.502
128221,17,398,116,185,2.79,26.082
128225,10,398,116,185,2.79,26.082
134308,49,493,138,182,4.39,17.56
135309,21,328,198,172,5.2,26.0
144022,23,243,148,204,2.81,26.1
171505,11,285,141,169,2.4,22.613
210110,12,231,200,106,3.98,68.632
210137,3,190,190,106,2.832,48.954
210178,155,194,189,81,1.91,44.74
210185,4,204,176,97,1.915,37.357
225057,3,378,238,216,7.383,53.55
228075,4,378,238,256,10.15,72.919
230205,26,330,200,227,3.48,25.71
230352,2,338,233,280,3.999,21.864
250229,58,398,163,207,1.1,11.25
250254,11,318,188,237,4.429,32.282
250303,67,220,316,190,5.233,48.616
250711,17,453,300,207,3.959,38.669
251105,11,243,351,337,5.602,29.879
311777,3,293,243,237,5.373,39.13
312011,2,293,243,237,6.512,47.103
312014,4,330,238,157,4.032,45.972
312221,12,200,370,230,8.264,59.717
312229,1,378,238,176,5.47,51.099
312886,5,238,330,157,4.289,48.799
312909,2,488,323,252,4.081,32.038
313012,79,326,236,171,4.755,53.925
313525,2,330,238,169,2.999,34.508
313686,19,313,243,189,3.833,36.117
318306,6,399,193,192,5.75,53.37
326301,29,335,161,137,5.006,66.235
326302,136,335,161,137,5.006,66.235
327028,100,294,168,177,2.288,11.44
327029,93,294,168,177,2.288,11.44
336114,121,294,168,172,2.09,10.45
336115,77,294,168,172,2.09,10.45
336569,3,390,110,90,1.2,26.172
336580,44,390,110,90,1.36,29.532
336919,8,385,110,90,0.492,11.304
337104,28,325,115,180,2.07,19.468
340001,28,458,128,182,4.39,40.86
340006,19,458,128,182,4.39,40.86
380918,6,223,373,208,2.786,26.943
384027,28,293,265,111,6.85,118.475
384898,3,284,221,259,3.785,28.014
385365,17,206,186,137,3.792,50.106
389412,15,204,189,81,1.924,45.062
389413,12,204,189,81,1.924,45.062
516315,10,333,238,208,6.895,63.791
516340,1,328,298,256,5.234,38.663
516416,63,208,183,133,0.54,7.83
516417,28,208,183,133,0.449,6.647
516443,11,333,383,307,4.641,25.905
516593,23,292,326,256,4.231,31.642
517007,3,383,333,307,7.36,39.5
517013,5,292,326,256,4.471,33.322
517101,113,208,183,133,0.833,11.639
517104,119,208,183,133,0.833,11.639
517108,22,208,183,133,0.529,7.687
517110,51,208,183,133,0.541,7.843
517114,4,363,210,133,1.387,19.9
517561,24,363,290,236,1.447,12.338
517676,38,298,150,180,2.74,25.673
518012,6,550,280,114,4.79,28.74
518103,25,300,250,284,6.35,25.4
518110,6,280,550,120,7.17,35.85
518201,3,286,215,139,6.3,83.329
518202,20,286,215,139,6.3,83.329
518402,3,310,230,125,6.1,93.12
518403,1,286,215,139,6.3,83.329
519001,1,308,284,207,5.95,35.7
544615,27,243,144,204,2.42,22.59
544646,10,243,148,205,3.34,30.87
544661,43,243,148,205,2.2,20.61
544662,18,243,148,205,2.7,25.11
544663,26,243,148,205,2.5,23.31
544677,16,243,148,205,2.604,24.246
545576,12,240,333,210,8.092,74.564
545577,68,240,333,210,8.092,74.564
545580,8,240,333,210,8.092,74.564
574905,20,394,148,211,3.808,35.487
574906,24,394,148,211,3.807,35.478
575798,46,298,150,180,2.73,25.583
920407,3,195,255,290,9.371,47.96
