item,quantity,width,depth,height,weight,maxload
bin,1,1200,800,2000,2000.0,2000.0
101319,12,600,300,230,12.17,89.24
101420,55,280,345,130,12.1,159.509
101538,37,394,148,211,3.764,35.091
104021,68,398,198,212,5.1,47.925
104705,28,400,250,210,5.172,48.573
111205,51,460,290,140,12.192,73.152
113451,80,238,120,290,4.89,25.058
113452,6,248,400,160,3.3,38.325
120112,17,298,198,287,11.92,60.815
124104,78,395,145,188,4.216,39.159
210253,29,438,263,204,3.839,37.611
210594,10,410,253,258,4.187,31.739
214044,25,296,218,254,3.508,26.075
230358,3,338,233,280,3.999,21.864
230386,68,328,133,115,1.164,20.688
250253,55,198,258,107,1.293,23.196
250301,32,188,318,237,4.272,31.183
250302,34,188,318,237,4.272,31.183
313073,29,297,219,254,3.207,23.968
313267,18,326,169,259,4.173,30.368
318301,39,393,193,192,6.024,55.836
327036,10,294,168,177,2.48,28.385
327037,47,294,168,177,2.48,28.385
327038,40,393,243,169,4.0,46.025
327045,74,294,168,172,2.49,28.495
336114,20,294,168,172,2.09,10.45
336565,98,385,110,90,2.02,43.392
336569,72,390,110,90,1.2,26.172
336573,34,238,193,232,1.48,14.535
336576,15,475,117,190,1.48,14.535
336577,17,475,117,190,1.48,14.535
336579,88,390,110,90,1.2,26.172
336580,63,390,110,90,1.36,29.532
336919,45,385,110,90,0.492,11.304
336920,27,385,110,90,0.492,11.304
544662,61,243,148,205,2.7,25.11
544663,31,243,148,205,2.5,23.31
544677,97,243,148,205,2.604,24.246
545576,25,240,333,210,8.092,74.564
545577,49,240,333,210,8.092,74.564
545578,7,240,333,210,8.092,74.564
545580,24,240,333,210,8.092,74.564
573742,9,600,210,100,10.15,175.25
574906,4,394,148,211,3.807,35.478
575557,86,298,150,180,2.76,25.853
575558,87,298,150,180,2.76,25.853
575798,104,298,150,180,2.73,25.583
575803,71,298,150,180,2.28,21.533
920407,2,195,255,290,9.371,47.96
