item,quantity,width,depth,height,weight,maxload
bin,1,1200,800,2000,2000.0,2000.0
101560,93,380,270,100,10.15,195.28
210110,38,231,200,106,3.98,68.632
210133,38,181,190,103,2.474,47.816
210137,31,190,190,106,2.832,48.954
210144,5,180,168,94,1.688,36.142
210147,42,177,166,92,1.646,35.26
210162,37,166,177,92,1.288,27.742
210166,74,180,168,94,1.643,35.197
210185,22,204,176,97,1.915,37.357
210407,37,297,219,254,2.886,21.721
210481,2,276,236,171,2.2,25.719
210502,24,296,218,254,3.215,24.024
210503,8,296,218,254,3.215,24.024
210594,5,410,253,258,4.187,31.739
212124,56,248,238,202,2.396,22.779
212126,11,226,196,90,2.933,62.565
212210,21,180,538,202,1.834,18.531
212211,45,313,243,189,1.365,13.608
212467,29,318,313,157,2.16,26.768
214044,36,296,218,254,3.508,26.075
223004,96,275,190,167,2.334,26.889
225057,10,378,238,216,7.383,53.55
228090,9,378,258,182,5.743,54.117
230386,65,328,133,115,1.164,20.688
230394,33,585,200,205,4.455,42.525
312011,21,293,243,237,6.512,47.103
312014,18,330,238,157,4.032,45.972
312113,8,313,243,189,3.474,32.886
312150,3,288,238,225,5.675,41.65
312205,53,293,243,237,6.11,44.289
312217,58,238,330,169,4.003,45.653
312229,11,378,238,176,5.47,51.099
312735,6,288,238,157,3.278,37.577
312765,90,310,220,160,3.286,37.665
312907,31,358,248,172,3.854,44.419
313073,33,297,219,254,3.207,23.968
313267,22,326,169,259,4.173,30.368
313525,40,330,238,169,2.999,34.508
313568,32,311,203,170,3.286,37.665
313570,50,250,192,287,3.409,18.058
313694,3,313,243,189,3.465,32.805
313960,24,320,220,155,3.286,37.665
384028,16,197,188,90,2.269,48.459
384029,194,188,168,89,1.967,42.001
384033,56,196,166,87,1.988,42.442
384826,17,330,238,169,2.812,33.344
389411,93,204,189,81,1.924,45.062
389412,130,204,189,81,1.924,45.062
389414,208,204,189,81,1.924,45.062
389415,184,204,189,81,1.924,45.062
518005,13,548,278,114,6.75,40.5
518101,48,458,228,174,5.58,27.9
518110,42,280,550,120,7.17,35.85
518403,14,286,215,139,6.3,83.329
519001,10,308,284,207,5.95,35.7
