item,quantity,width,depth,height,weight,maxload
bin,1,1200,800,2000,2000.0,2000.0
101219,5,450,330,200,12.24,90.54
101401,20,380,270,100,10.16,195.47
101402,50,380,270,100,10.21,196.42
101405,30,380,270,100,10.23,196.8
101504,16,280,250,215,4.91,35.889
101517,7,310,495,200,9.692,90.699
101556,15,390,200,248,1.68,13.38
101557,30,390,200,248,1.68,13.38
111103,6,450,410,230,12.204,89.478
111112,6,460,440,200,12.204,89.478
113122,12,460,440,200,12.204,89.478
113306,6,400,480,175,12.23,89.66
113402,30,380,270,100,10.19,196.04
122015,84,335,161,137,5.46,72.137
122016,84,335,161,137,5.46,72.137
122018,84,335,161,137,5.46,72.137
122046,42,335,161,137,5.458,72.111
122050,21,335,161,137,5.458,72.111
122054,42,335,161,137,5.458,72.111
122078,84,335,161,137,5.46,72.137
122632,48,270,233,260,12.67,90.119
122633,51,365,196,222,12.67,90.119
123041,20,298,198,162,4.82,54.235
123047,20,298,198,162,4.82,54.235
123048,20,298,198,162,4.82,54.235
123713,42,335,161,137,5.6,73.957
151003,30,351,190,309,10.9,56.12
210178,30,194,189,81,1.91,44.74
210215,49,166,131,135,0.868,11.78
210253,9,438,263,204,3.839,37.611
210367,47,169,143,95,1.086,21.151
212131,20,241,233,254,2.266,17.077
212211,30,313,243,189,1.365,13.608
225058,13,378,238,216,7.7,55.769
228075,13,378,238,256,10.15,72.919
230122,24,237,398,187,2.986,28.899
230313,24,398,237,187,2.632,25.713
230386,27,328,133,115,1.164,20.688
250228,18,390,155,195,1.426,14.184
250251,38,188,318,237,4.253,31.05
250252,38,318,188,237,4.43,32.289
250465,68,222,290,206,2.804,26.665
250466,51,222,290,206,2.804,26.665
250467,34,222,290,206,2.803,26.656
250557,56,211,366,173,3.6,41.336
250560,14,211,366,173,3.6,41.336
250700,12,223,373,206,3.785,36.09
250854,18,280,212,206,2.714,25.776
251101,15,225,335,237,3.279,24.573
251161,30,222,333,217,1.726,13.702
251226,48,220,316,190,4.933,45.916
251227,32,220,316,190,4.933,45.916
251228,48,220,316,190,4.933,45.916
251229,16,220,316,190,4.932,45.907
251230,48,220,316,190,4.932,45.907
251501,60,248,238,227,2.385,17.91
251506,40,248,238,227,2.385,17.91
251507,52,223,373,208,1.992,19.797
251534,15,333,225,237,1.63,13.03
312011,16,293,243,237,6.512,47.103
313268,30,193,193,242,1.736,12.962
313540,24,248,190,284,3.409,18.058
384883,24,366,224,162,5.639,64.054
389412,25,204,189,81,1.924,45.062
389416,50,204,189,81,1.598,37.564
516416,60,208,183,133,0.54,7.83
516417,60,208,183,133,0.449,6.647
516677,9,376,311,308,3.911,22.255
516995,9,363,308,233,6.812,50.114
517101,60,208,183,133,0.833,11.639
517104,60,208,183,133,0.833,11.639
518012,32,550,280,114,4.79,28.74
544678,18,458,128,172,2.458,28.388
544679,18,458,128,172,2.698,31.028
544680,18,458,128,172,2.698,31.028
545525,10,480,210,160,12.168,136.278
545526,10,480,210,160,12.168,136.278
545536,10,480,210,160,12.3,137.73
574904,8,530,230,160,12.11,136.248
