item,quantity,width,depth,height,weight,maxload
bin,1,1200,800,2000,2000.0,2000.0
101318,12,400,480,175,12.23,89.66
101401,20,380,270,100,10.16,195.47
101405,20,380,270,100,10.23,196.8
101407,30,380,270,100,10.22,196.61
101409,30,380,270,100,10.09,194.14
101517,14,310,495,200,9.692,90.699
101681,6,498,398,222,11.5,84.55
101688,10,298,198,287,11.35,57.965
103118,10,230,240,190,3.834,35.721
104020,15,398,198,212,5.1,47.925
111101,4,460,400,190,12.2,89.45
111103,12,450,410,230,12.204,89.478
111105,6,450,380,210,12.2,89.45
111107,6,440,380,200,12.3,90.15
111109,24,400,360,160,12.168,48.672
111133,6,440,370,200,12.228,114.102
122015,42,335,161,137,5.46,72.137
122016,42,335,161,137,5.46,72.137
122018,42,335,161,137,5.46,72.137
122046,42,335,161,137,5.458,72.111
122048,42,335,161,137,5.458,72.111
122050,42,335,161,137,5.458,72.111
122054,21,335,161,137,5.458,72.111
122077,42,335,161,137,5.46,72.137
122078,42,335,161,137,5.46,72.137
122642,5,335,161,137,5.46,72.137
122683,5,370,195,155,6.44,72.46
122685,5,370,195,155,6.44,72.46
123041,10,298,198,162,4.82,54.235
123042,10,298,198,162,4.82,54.235
123047,10,298,198,162,4.82,54.235
210137,10,190,190,106,2.832,48.954
210181,60,241,233,228,2.109,15.978
210185,15,204,176,97,1.915,37.357
210253,18,438,263,204,3.839,37.611
210485,40,214,240,252,2.549,18.981
210816,15,188,168,89,2.038,43.492
212125,10,248,238,212,2.547,24.138
212131,60,241,233,254,2.266,17.077
214007,24,322,277,171,4.857,55.452
214062,8,289,238,171,5.333,60.182
230133,34,237,398,187,2.632,25.713
230205,10,330,200,227,3.48,25.71
230206,10,330,200,227,3.48,25.71
230324,10,330,200,227,3.48,25.71
230386,108,328,133,115,1.164,20.688
250153,10,188,318,237,2.324,17.547
250181,13,351,243,337,5.607,29.904
250196,20,403,258,274,4.684,25.85
250200,10,268,395,207,3.355,32.625
250228,18,390,155,195,1.426,14.184
250252,57,318,188,237,4.43,32.289
250253,10,198,258,107,1.293,23.196
250386,18,398,163,207,1.273,12.807
250465,51,222,290,206,2.804,26.665
250466,34,222,290,206,2.804,26.665
250467,17,222,290,206,2.803,26.656
250533,13,291,300,200,5.448,51.057
250557,42,211,366,173,3.6,41.336
250558,42,211,366,173,3.6,41.336
250560,14,211,366,173,3.6,41.336
250564,24,223,373,206,3.787,36.108
250700,12,223,373,206,3.785,36.09
250852,72,280,212,206,2.714,25.776
250854,18,280,212,206,2.714,25.776
251101,30,225,335,237,3.279,24.573
251104,20,403,258,274,4.69,25.88
251105,13,243,351,337,5.602,29.879
251226,32,220,316,190,4.933,45.916
251227,16,220,316,190,4.933,45.916
251228,32,220,316,190,4.933,45.916
251229,32,220,316,190,4.932,45.907
251230,16,220,316,190,4.932,45.907
251619,18,398,163,207,1.423,14.157
251622,18,398,163,207,1.423,14.157
311152,10,328,171,262,3.334,24.495
311347,16,288,238,225,5.654,41.097
312011,8,293,243,237,6.512,47.103
312014,5,330,238,157,4.032,45.972
312205,8,293,243,237,6.11,44.289
312405,5,195,192,155,2.217,25.197
312909,14,488,323,252,4.081,32.038
312911,7,488,323,252,4.075,31.996
313009,16,293,243,217,5.615,40.824
313310,7,498,169,187,3.658,35.306
327021,27,366,298,172,6.16,30.8
336107,10,325,115,180,2.27,21.268
336109,10,325,115,180,2.27,21.268
336110,5,325,115,180,2.27,21.268
336111,5,325,115,180,2.27,21.268
336115,10,294,168,172,2.09,10.45
336117,5,298,168,172,2.146,24.711
336396,5,363,268,206,3.428,33.282
336397,5,363,268,206,3.428,33.282
340007,18,458,128,182,3.84,35.91
340009,18,458,128,182,3.84,35.91
384029,10,188,168,89,1.967,42.001
384883,6,366,224,162,5.639,64.054
389411,50,204,189,81,1.924,45.062
389415,35,204,189,81,1.924,45.062
389416,10,204,189,81,1.598,37.564
516416,5,208,183,133,0.54,7.83
516652,9,383,333,307,3.634,20.87
516995,9,363,308,233,6.812,50.114
517108,5,208,183,133,0.529,7.687
517551,5,593,388,259,4.922,39.314
517552,5,593,388,259,4.922,39.314
517553,5,593,388,259,4.922,39.314
517562,5,363,290,236,1.447,12.338
518012,24,550,280,114,4.79,28.74
571656,9,580,205,100,10.2,176.1
571664,45,390,190,100,5.12,46.08
