item,quantity,width,depth,height,weight,maxload
bin,1,1200,800,2000,2000.0,2000.0
111103,2,450,410,230,12.204,89.478
116105,6,460,440,200,12.192,89.394
116301,5,400,500,180,12.2,89.45
122046,100,335,161,137,5.458,72.111
122048,100,335,161,137,5.458,72.111
122050,100,335,161,137,5.458,72.111
122052,100,335,161,137,5.458,72.111
122054,100,335,161,137,5.458,72.111
122631,40,365,196,222,12.67,90.119
122632,21,270,233,260,12.67,90.119
122633,20,365,196,222,12.67,90.119
122635,40,365,196,222,12.67,90.119
210117,30,177,166,92,1.654,36.541
210133,20,181,190,103,2.474,47.816
210143,30,177,166,92,1.688,36.142
210451,25,446,298,156,5.657,65.265
212126,20,226,196,90,2.933,62.565
212467,50,318,313,157,2.16,26.768
212494,40,263,263,174,2.721,26.514
230352,11,338,233,280,3.999,21.864
230358,11,338,233,280,3.999,21.864
250181,30,351,243,337,5.607,29.904
250200,20,268,395,207,3.355,32.625
250201,40,395,268,207,3.752,36.198
250710,20,453,300,207,4.439,42.989
250711,20,453,300,207,3.959,38.669
250855,10,280,212,206,2.594,24.696
251104,20,403,258,274,4.69,25.88
251229,30,220,316,190,4.932,45.907
312205,40,293,243,237,6.11,44.289
313385,50,320,220,160,3.286,37.665
327001,28,393,243,169,3.8,19.0
327003,3,393,243,169,3.8,19.0
327011,75,298,168,142,1.82,9.1
327012,75,298,168,142,1.82,9.1
327038,50,393,243,169,4.0,46.025
336575,50,475,117,190,1.48,11.332
336579,100,390,110,90,1.2,26.172
336580,75,390,110,90,1.36,29.532
337103,100,325,115,180,2.07,19.468
337104,5,325,115,180,2.07,19.468
337105,100,325,115,180,2.07,19.468
384026,30,194,192,87,2.297,50.37
384027,100,293,265,111,6.85,118.475
389328,75,194,189,81,1.699,39.887
389411,50,204,189,81,1.924,45.062
516221,23,383,333,307,4.943,27.415
516222,23,383,333,307,4.843,26.915
516313,4,328,298,256,5.234,38.663
516314,4,328,298,256,5.234,38.663
516442,21,333,383,307,4.641,25.905
516443,21,333,383,307,4.641,25.905
516920,23,383,300,307,4.844,26.92
516923,23,383,300,307,4.541,25.405
516924,23,383,300,307,4.843,26.915
