item,quantity,width,depth,height,weight,maxload
bin,1,1200,800,2000,2000.0,2000.0
101401,10,380,270,100,10.16,195.47
101405,20,380,270,100,10.23,196.8
101502,6,298,558,187,7.5,39.93
103118,10,230,240,190,3.834,35.721
111103,12,450,410,230,12.204,89.478
111105,12,450,380,210,12.2,89.45
113125,6,450,410,210,12.204,89.478
113402,10,380,270,100,10.19,196.04
122015,63,335,161,137,5.46,72.137
122016,105,335,161,137,5.46,72.137
122018,105,335,161,137,5.46,72.137
122046,21,335,161,137,5.458,72.111
122048,21,335,161,137,5.458,72.111
122054,42,335,161,137,5.458,72.111
122077,63,335,161,137,5.46,72.137
122078,84,335,161,137,5.46,72.137
122635,34,365,196,222,12.67,90.119
123048,20,298,198,162,4.82,54.235
151003,30,351,190,309,10.9,56.12
210133,60,181,190,103,2.474,47.816
210137,10,190,190,106,2.832,48.954
210144,35,180,168,94,1.688,36.142
210162,35,166,177,92,1.288,27.742
210181,20,241,233,228,2.109,15.978
210185,30,204,176,97,1.915,37.357
210253,18,438,263,204,3.839,37.611
210403,20,225,225,222,1.916,15.005
210817,80,241,233,202,2.545,24.12
212124,20,248,238,202,2.396,22.779
228087,26,230,370,200,7.1,51.569
230206,18,330,200,227,3.48,25.71
250254,19,318,188,237,4.429,32.282
250301,10,188,318,237,4.272,31.183
250302,10,188,318,237,4.272,31.183
250303,16,220,316,190,5.233,48.616
250534,60,243,236,227,2.389,17.938
250560,42,211,366,173,3.6,41.336
251226,64,220,316,190,4.933,45.916
251228,64,220,316,190,4.933,45.916
251229,32,220,316,190,4.932,45.907
251230,32,220,316,190,4.932,45.907
251620,36,398,163,207,1.424,14.166
251621,36,398,163,207,1.424,14.166
251622,36,398,163,207,1.423,14.157
251629,36,398,163,207,1.423,14.157
312159,10,288,238,225,5.675,41.244
313268,60,193,193,242,1.736,12.962
313761,16,293,243,217,4.899,35.812
313960,16,320,220,155,3.286,37.665
327021,18,366,298,172,6.16,30.8
340007,36,458,128,182,3.84,35.91
340008,36,458,128,182,3.84,35.91
340009,54,458,128,182,3.84,35.91
340010,36,458,128,182,3.84,35.91
384883,12,366,224,162,5.639,64.054
389411,25,204,189,81,1.924,45.062
389415,25,204,189,81,1.924,45.062
389416,50,204,189,81,1.598,37.564
516889,10,394,300,307,4.097,22.915
516897,5,394,300,307,4.097,22.915
516920,9,383,300,307,4.844,26.92
516995,18,363,308,233,6.812,50.114
517019,10,333,208,170,2.984,34.343
517552,5,593,388,259,4.922,39.314
517561,11,363,290,236,1.447,12.338
517562,11,363,290,236,1.447,12.338
517576,8,461,294,257,2.688,21.854
518111,12,550,280,115,5.6,22.4
545536,30,480,210,160,12.3,137.73
