item,quantity,width,depth,height,weight,maxload
bin,1,1200,800,2000,2000.0,2000.0
101219,5,450,330,200,12.24,90.54
101220,21,440,320,150,12.194,113.217
101320,12,400,480,175,12.23,114.12
101401,20,380,270,100,10.16,195.47
101405,10,380,270,100,10.23,196.8
101407,50,380,270,100,10.22,196.61
101409,50,380,270,100,10.09,194.14
101502,24,298,558,187,7.5,39.93
101504,32,280,250,215,4.91,35.889
111203,30,460,290,140,12.194,161.993
111204,22,440,290,220,12.194,137.605
113122,6,460,440,200,12.204,89.478
113402,10,380,270,100,10.19,196.04
122015,84,335,161,137,5.46,72.137
122016,84,335,161,137,5.46,72.137
122018,84,335,161,137,5.46,72.137
122046,84,335,161,137,5.458,72.111
122048,84,335,161,137,5.458,72.111
122052,84,335,161,137,5.458,72.111
210144,70,180,168,94,1.688,36.142
210148,70,180,168,94,1.688,36.142
210181,60,241,233,228,2.109,15.978
210185,200,204,176,97,1.915,37.357
210276,15,190,389,204,3.012,28.728
210278,21,322,166,299,3.725,19.782
210287,9,358,248,172,6.664,78.805
210403,20,225,225,222,1.916,15.005
210816,35,188,168,89,2.038,43.492
212467,36,318,313,157,2.16,26.768
212479,30,331,226,257,6.224,45.188
212936,10,236,194,261,10.221,72.56
214058,40,216,206,86,1.194,28.677
214059,21,322,166,299,5.584,29.077
214062,8,289,238,171,5.333,60.182
251101,30,225,335,237,3.279,24.573
251104,10,403,258,274,4.69,25.88
251161,30,222,333,217,1.726,13.702
251162,30,222,333,217,1.721,13.667
251229,32,220,316,190,4.932,45.907
251230,48,220,316,190,4.932,45.907
251507,52,223,373,208,1.992,19.797
251534,30,333,225,237,1.63,13.03
251619,18,398,163,207,1.423,14.157
251620,36,398,163,207,1.424,14.166
251621,18,398,163,207,1.424,14.166
251622,18,398,163,207,1.423,14.157
251629,18,398,163,207,1.423,14.157
312151,5,288,238,225,5.667,41.188
312157,5,288,238,225,5.64,40.999
312205,8,293,243,237,6.11,44.289
312229,13,378,238,176,5.47,51.099
313267,21,326,169,259,4.173,30.368
313761,10,293,243,217,4.899,35.812
327020,9,366,298,172,6.16,30.8
327021,27,366,298,172,6.16,30.8
327022,9,366,298,172,6.16,30.8
336107,10,325,115,180,2.27,21.268
336108,10,325,115,180,2.27,21.268
336109,10,325,115,180,2.27,21.268
336110,10,325,115,180,2.27,21.268
336111,10,325,115,180,2.27,21.268
337106,10,363,268,206,3.31,32.22
340010,18,458,128,182,3.84,35.91
384826,30,330,238,169,2.812,33.344
385002,120,265,188,147,2.181,29.458
385506,10,236,194,261,10.242,72.707
385507,4,236,194,261,10.242,72.707
389411,25,204,189,81,1.924,45.062
516889,15,394,300,307,4.097,22.915
516923,9,383,300,307,4.541,25.405
517551,10,593,388,259,4.922,39.314
517552,5,593,388,259,4.922,39.314
517553,5,593,388,259,4.922,39.314
518012,16,550,280,114,4.79,28.74
518101,20,458,228,174,5.58,27.9
518111,30,550,280,115,5.6,22.4
