item,quantity,width,depth,height,weight,maxload
bin,1,1200,800,2000,2000.0,2000.0
101420,12,280,345,130,12.1,159.509
101507,15,298,558,187,7.5,39.93
103401,35,380,270,95,10.23,196.8
104705,9,400,250,210,5.172,48.573
111205,42,460,290,140,12.192,73.152
120109,57,190,390,200,5.272,49.473
120112,45,298,198,287,11.92,60.815
120404,39,380,290,100,10.19,196.04
120411,90,380,290,100,10.14,195.09
134114,14,328,198,162,5.194,58.484
134115,89,328,198,162,5.194,58.484
135212,31,316,160,130,5.44,71.877
135214,8,316,160,130,5.44,71.877
135308,54,328,198,172,5.2,26.0
144022,38,243,148,204,2.81,26.1
151002,7,470,260,110,12.288,211.934
151004,64,470,260,110,10.24,177.118
212126,48,226,196,90,2.933,62.565
230127,49,401,142,207,1.878,18.252
250153,15,188,318,237,2.324,17.547
250160,30,232,348,165,2.999,34.858
250303,12,220,316,190,5.233,48.616
250374,12,318,188,237,2.699,20.172
250505,5,338,233,252,4.301,31.976
318301,26,393,193,192,6.024,55.836
336565,24,385,110,90,2.02,43.392
336573,10,238,193,232,1.48,14.535
336576,5,475,117,190,1.48,14.535
336577,6,475,117,190,1.48,14.535
336579,28,390,110,90,1.2,26.172
336580,30,390,110,90,1.36,29.532
384027,76,293,265,111,6.85,118.475
385365,22,206,186,137,3.792,50.106
516313,29,328,298,256,5.234,38.663
516340,5,328,298,256,5.234,38.663
516342,25,328,298,256,5.23,38.635
516416,99,208,183,133,0.54,7.83
516417,126,208,183,133,0.449,6.647
516593,9,292,326,256,4.231,31.642
516659,5,383,300,307,4.111,23.255
517007,9,383,333,307,7.36,39.5
517013,4,292,326,256,4.471,33.322
517021,17,376,311,308,6.457,34.985
517101,168,208,183,133,0.833,11.639
517104,71,208,183,133,0.833,11.639
517106,56,208,183,133,0.758,10.664
517108,26,208,183,133,0.529,7.687
517110,44,208,183,133,0.541,7.843
517114,36,363,210,133,1.387,19.9
517553,8,593,388,259,4.922,39.314
517561,26,363,290,236,1.447,12.338
517576,4,461,294,257,2.688,21.854
544645,45,243,148,205,3.34,30.87
544646,62,243,148,205,3.34,30.87
544647,25,243,148,205,3.04,28.17
545576,10,240,333,210,8.092,74.564
545578,9,240,333,210,8.092,74.564
575557,86,298,150,180,2.76,25.853
575558,80,298,150,180,2.76,25.853
575798,96,298,150,180,2.73,25.583
920407,9,195,255,290,9.371,47.96
